Full Room Label,Room Label,Area,Map ID,Room ID,X,Y,W,H,Suffix
"Fadalins Neighborhood (Sewers) (X+7, Y-14) - ren3411","Fadalins Neighborhood (Sewers) (X+7, Y-14) - ren3411",Fadalins Neighborhood (Sewers),city_underground,ren3411,7,-14,3,2,
"Fadalins Neighborhood (Sewers) (X+4, Y-13) - ren1686","Fadalins Neighborhood (Sewers) (X+4, Y-13) - ren1686",Fadalins Neighborhood (Sewers),city_underground,ren1686,4,-13,1,1,
"Fadalins Neighborhood (Sewers) (X+5, Y-13) - ren1684","Fadalins Neighborhood (Sewers) (X+5, Y-13) - ren1684",Fadalins Neighborhood (Sewers),city_underground,ren1684,5,-13,1,1,
"Fadalins Neighborhood (Sewers) (X+10, Y-13) - ren3454","Fadalins Neighborhood (Sewers) (X+10, Y-13) - ren3454",Fadalins Neighborhood (Sewers),city_underground,ren3454,10,-13,1,1,
"Fadalins Neighborhood (Sewers) (X+3, Y-12) - yug1635","Fadalins Neighborhood (Sewers) (X+3, Y-12) - yug1635",Fadalins Neighborhood (Sewers),city_underground,yug1635,3,-12,1,2,
"Fadalins Neighborhood (Sewers) (X+4, Y-12) - ren1678","Fadalins Neighborhood (Sewers) (X+4, Y-12) - ren1678",Fadalins Neighborhood (Sewers),city_underground,ren1678,4,-12,2,1,
"Fadalins Neighborhood (Sewers) (X+7, Y-12) - ren3410","Fadalins Neighborhood (Sewers) (X+7, Y-12) - ren3410",Fadalins Neighborhood (Sewers),city_underground,ren3410,7,-12,1,1,
"Fadalins Neighborhood (Sewers) (X+8, Y-12) - ren3413","Fadalins Neighborhood (Sewers) (X+8, Y-12) - ren3413",Fadalins Neighborhood (Sewers),city_underground,ren3413,8,-12,3,1,
"Fadalins Neighborhood (Sewers) (X+3, Y-10) - ren1769","Fadalins Neighborhood (Sewers) (X+3, Y-10) - ren1769",Fadalins Neighborhood (Sewers),city_underground,ren1769,3,-10,1,2,
"Fadalins Neighborhood (Sewers) (X+4, Y-10) - ren1648","Fadalins Neighborhood (Sewers) (X+4, Y-10) - ren1648",Fadalins Neighborhood (Sewers),city_underground,ren1648,4,-10,2,1,
"Fadalins Neighborhood (Sewers) (X+4, Y-9) - ren1653","Fadalins Neighborhood (Sewers) (X+4, Y-9) - ren1653",Fadalins Neighborhood (Sewers),city_underground,ren1653,4,-9,2,1,
"Fadalins Neighborhood (Sewers) (X+4, Y-8) - yug2167","Fadalins Neighborhood (Sewers) (X+4, Y-8) - yug2167",Fadalins Neighborhood (Sewers),city_underground,yug2167,4,-8,1,1,
"Fadalins Neighborhood (Sewers) (X+5, Y-8) - yug2151","Fadalins Neighborhood (Sewers) (X+5, Y-8) - yug2151",Fadalins Neighborhood (Sewers),city_underground,yug2151,5,-8,1,1,
"Fadolio Eternatum Museum (X+1, Y-4) - yug2","Fadolio Eternatum Museum (X+1, Y-4) - yug2",Fadolio Eternatum Museum,museum,yug2,1,-4,2,3,
"Fadolio Eternatum Museum (X-1, Y-3) - yug43","Fadolio Eternatum Museum (X-1, Y-3) - yug43",Fadolio Eternatum Museum,museum,yug43,-1,-3,2,3,
"Faria Slimer Borough (X+9, Y-7) - yug3435","Faria Slimer Borough (X+9, Y-7) - yug3435",Faria Slimer Borough,city,yug3435,9,-7,1,1,
"Faria Slimer Borough (X+1, Y-6) - lor1097","Faria Slimer Borough (X+1, Y-6) - lor1097",Faria Slimer Borough,city,lor1097,1,-6,2,2,
"Faria Slimer Borough (X+3, Y-6) - yug1263","Faria Slimer Borough (X+3, Y-6) - yug1263",Faria Slimer Borough,city,yug1263,3,-6,1,1,
"Faria Slimer Borough (X+4, Y-6) - yug173","Faria Slimer Borough (X+4, Y-6) - yug173",Faria Slimer Borough,city,yug173,4,-6,3,1,
"Faria Slimer Borough (X+7, Y-6) - yug171 (Main)","Faria Slimer Borough (X+7, Y-6) - yug171",Faria Slimer Borough,city,yug171,7,-6,1,1, (Main)
"Faria Slimer Borough (X+7, Y-6) - yug171 (East)","Faria Slimer Borough (X+7, Y-6) - yug171",Faria Slimer Borough,city,yug171,7,-6,1,1, (East)
"Faria Slimer Borough (X+8, Y-6) - yug3298","Faria Slimer Borough (X+8, Y-6) - yug3298",Faria Slimer Borough,city,yug3298,8,-6,1,1,
"Faria Slimer Borough (X+9, Y-6) - yug3411","Faria Slimer Borough (X+9, Y-6) - yug3411",Faria Slimer Borough,city,yug3411,9,-6,1,1,
"Faria Slimer Borough (X+3, Y-5) - yug20","Faria Slimer Borough (X+3, Y-5) - yug20",Faria Slimer Borough,city,yug20,3,-5,1,1,
"Faria Slimer Borough (X+4, Y-5) - yug208 (North)","Faria Slimer Borough (X+4, Y-5) - yug208",Faria Slimer Borough,city,yug208,4,-5,1,2, (North)
"Faria Slimer Borough (X+4, Y-5) - yug208 (South)","Faria Slimer Borough (X+4, Y-5) - yug208",Faria Slimer Borough,city,yug208,4,-5,1,2, (South)
"Faria Slimer Borough (X+5, Y-5) - yug183","Faria Slimer Borough (X+5, Y-5) - yug183",Faria Slimer Borough,city,yug183,5,-5,1,1,
"Faria Slimer Borough (X+6, Y-5) - yug23","Faria Slimer Borough (X+6, Y-5) - yug23",Faria Slimer Borough,city,yug23,6,-5,1,1,
"Faria Slimer Borough (X+7, Y-5) - yug3458","Faria Slimer Borough (X+7, Y-5) - yug3458",Faria Slimer Borough,city,yug3458,7,-5,1,1,
"Faria Slimer Borough (X+8, Y-5) - yug3276","Faria Slimer Borough (X+8, Y-5) - yug3276",Faria Slimer Borough,city,yug3276,8,-5,1,1,
"Faria Slimer Borough (X+9, Y-5) - yug3320 (Main)","Faria Slimer Borough (X+9, Y-5) - yug3320",Faria Slimer Borough,city,yug3320,9,-5,1,1, (Main)
"Faria Slimer Borough (X+9, Y-5) - yug3320 (South Alcove)","Faria Slimer Borough (X+9, Y-5) - yug3320",Faria Slimer Borough,city,yug3320,9,-5,1,1, (South Alcove)
"Faria Slimer Borough (X+2, Y-4) - lor1128 (West)","Faria Slimer Borough (X+2, Y-4) - lor1128",Faria Slimer Borough,city,lor1128,2,-4,1,1, (West)
"Faria Slimer Borough (X+2, Y-4) - lor1128 (East)","Faria Slimer Borough (X+2, Y-4) - lor1128",Faria Slimer Borough,city,lor1128,2,-4,1,1, (East)
"Faria Slimer Borough (X+3, Y-4) - yug19","Faria Slimer Borough (X+3, Y-4) - yug19",Faria Slimer Borough,city,yug19,3,-4,1,1,
"Faria Slimer Borough (X+5, Y-4) - yug190","Faria Slimer Borough (X+5, Y-4) - yug190",Faria Slimer Borough,city,yug190,5,-4,1,1,
"Faria Slimer Borough (X+6, Y-4) - yug187","Faria Slimer Borough (X+6, Y-4) - yug187",Faria Slimer Borough,city,yug187,6,-4,1,1,
"Faria Slimer Borough (X+7, Y-4) - yug202 (Main)","Faria Slimer Borough (X+7, Y-4) - yug202",Faria Slimer Borough,city,yug202,7,-4,1,1, (Main)
"Faria Slimer Borough (X+7, Y-4) - yug202 (West Alcove)","Faria Slimer Borough (X+7, Y-4) - yug202",Faria Slimer Borough,city,yug202,7,-4,1,1, (West Alcove)
"Faria Slimer Borough (X+8, Y-4) - yug169","Faria Slimer Borough (X+8, Y-4) - yug169",Faria Slimer Borough,city,yug169,8,-4,1,1,
"Faria Slimer Borough (X+9, Y-4) - yug3345","Faria Slimer Borough (X+9, Y-4) - yug3345",Faria Slimer Borough,city,yug3345,9,-4,1,1,
"Faria Slimer Borough (X+2, Y-3) - lor1129","Faria Slimer Borough (X+2, Y-3) - lor1129",Faria Slimer Borough,city,lor1129,2,-3,1,1,
"Faria Slimer Borough (X+3, Y-3) - yug71","Faria Slimer Borough (X+3, Y-3) - yug71",Faria Slimer Borough,city,yug71,3,-3,1,1,
"Faria Slimer Borough (X+4, Y-3) - yug2741 (Main)","Faria Slimer Borough (X+4, Y-3) - yug2741",Faria Slimer Borough,city,yug2741,4,-3,4,3, (Main)
"Faria Slimer Borough (X+4, Y-3) - yug2741 (North)","Faria Slimer Borough (X+4, Y-3) - yug2741",Faria Slimer Borough,city,yug2741,4,-3,4,3, (North)
"Faria Slimer Borough (X+4, Y-3) - yug2741 (East Alcove)","Faria Slimer Borough (X+4, Y-3) - yug2741",Faria Slimer Borough,city,yug2741,4,-3,4,3, (East Alcove)
"Faria Slimer Borough (X+8, Y-3) - yug108 (Main)","Faria Slimer Borough (X+8, Y-3) - yug108",Faria Slimer Borough,city,yug108,8,-3,2,4, (Main)
"Faria Slimer Borough (X+8, Y-3) - yug108 (Northwest)","Faria Slimer Borough (X+8, Y-3) - yug108",Faria Slimer Borough,city,yug108,8,-3,2,4, (Northwest)
"Faria Slimer Borough (X+8, Y-3) - yug108 (Northeast)","Faria Slimer Borough (X+8, Y-3) - yug108",Faria Slimer Borough,city,yug108,8,-3,2,4, (Northeast)
"Faria Slimer Borough (X+8, Y-3) - yug108 (Southwest)","Faria Slimer Borough (X+8, Y-3) - yug108",Faria Slimer Borough,city,yug108,8,-3,2,4, (Southwest)
"Faria Slimer Borough (X+8, Y-3) - yug108 (Southeast)","Faria Slimer Borough (X+8, Y-3) - yug108",Faria Slimer Borough,city,yug108,8,-3,2,4, (Southeast)
"Faria Slimer Borough (X+8, Y-3) - yug108 (Dungeon Entrance)","Faria Slimer Borough (X+8, Y-3) - yug108",Faria Slimer Borough,city,yug108,8,-3,2,4, (Dungeon Entrance)
"Faria Slimer Borough (X+10, Y-3) - yug60","Faria Slimer Borough (X+10, Y-3) - yug60",Faria Slimer Borough,city,yug60,10,-3,1,1,
"Faria Slimer Borough (X+2, Y-2) - yug2715","Faria Slimer Borough (X+2, Y-2) - yug2715",Faria Slimer Borough,city,yug2715,2,-2,1,1,
"Faria Slimer Borough (X+3, Y-2) - yug259","Faria Slimer Borough (X+3, Y-2) - yug259",Faria Slimer Borough,city,yug259,3,-2,1,1,
"Faria Slimer Borough (X+10, Y-2) - yug56 (Main)","Faria Slimer Borough (X+10, Y-2) - yug56",Faria Slimer Borough,city,yug56,10,-2,1,1, (Main)
"Faria Slimer Borough (X+10, Y-2) - yug56 (East)","Faria Slimer Borough (X+10, Y-2) - yug56",Faria Slimer Borough,city,yug56,10,-2,1,1, (East)
"Faria Slimer Borough (X+2, Y-1) - yug2440","Faria Slimer Borough (X+2, Y-1) - yug2440",Faria Slimer Borough,city,yug2440,2,-1,1,1,
"Faria Slimer Borough (X+3, Y-1) - yug96","Faria Slimer Borough (X+3, Y-1) - yug96",Faria Slimer Borough,city,yug96,3,-1,1,2,
"Faria Slimer Borough (X+10, Y-1) - yug61 (Main)","Faria Slimer Borough (X+10, Y-1) - yug61",Faria Slimer Borough,city,yug61,10,-1,1,1, (Main)
"Faria Slimer Borough (X+10, Y-1) - yug61 (West Alcove)","Faria Slimer Borough (X+10, Y-1) - yug61",Faria Slimer Borough,city,yug61,10,-1,1,1, (West Alcove)
"Faria Slimer Borough (X+2, Y+0) - yug220 (West)","Faria Slimer Borough (X+2, Y+0) - yug220",Faria Slimer Borough,city,yug220,2,0,1,1, (West)
"Faria Slimer Borough (X+2, Y+0) - yug220 (East)","Faria Slimer Borough (X+2, Y+0) - yug220",Faria Slimer Borough,city,yug220,2,0,1,1, (East)
"Faria Slimer Borough (X+4, Y+0) - yug27 (Main)","Faria Slimer Borough (X+4, Y+0) - yug27",Faria Slimer Borough,city,yug27,4,0,4,3, (Main)
"Faria Slimer Borough (X+4, Y+0) - yug27 (North Alcove)","Faria Slimer Borough (X+4, Y+0) - yug27",Faria Slimer Borough,city,yug27,4,0,4,3, (North Alcove)
"Faria Slimer Borough (X+10, Y+0) - yug55","Faria Slimer Borough (X+10, Y+0) - yug55",Faria Slimer Borough,city,yug55,10,0,1,1,
"Faria Slimer Borough (X+2, Y+1) - yug219 (Main)","Faria Slimer Borough (X+2, Y+1) - yug219",Faria Slimer Borough,city,yug219,2,1,2,2, (Main)
"Faria Slimer Borough (X+2, Y+1) - yug219 (House Entrance)","Faria Slimer Borough (X+2, Y+1) - yug219",Faria Slimer Borough,city,yug219,2,1,2,2, (House Entrance)
"Faria Slimer Borough (X+8, Y+1) - yug17","Faria Slimer Borough (X+8, Y+1) - yug17",Faria Slimer Borough,city,yug17,8,1,1,1,
"Faria Slimer Borough (X+9, Y+1) - yug18","Faria Slimer Borough (X+9, Y+1) - yug18",Faria Slimer Borough,city,yug18,9,1,1,1,
"Faria Slimer Borough (X+10, Y+1) - lor2298","Faria Slimer Borough (X+10, Y+1) - lor2298",Faria Slimer Borough,city,lor2298,10,1,1,1,
"Faria Slimer Borough (X+8, Y+2) - yug15","Faria Slimer Borough (X+8, Y+2) - yug15",Faria Slimer Borough,city,yug15,8,2,1,1,
"Faria Slimer Borough (X+9, Y+2) - yug22","Faria Slimer Borough (X+9, Y+2) - yug22",Faria Slimer Borough,city,yug22,9,2,1,1,
"Faria Slimer Borough (X+10, Y+2) - lor2334 (Main)","Faria Slimer Borough (X+10, Y+2) - lor2334",Faria Slimer Borough,city,lor2334,10,2,1,2, (Main)
"Faria Slimer Borough (X+10, Y+2) - lor2334 (Northeast)","Faria Slimer Borough (X+10, Y+2) - lor2334",Faria Slimer Borough,city,lor2334,10,2,1,2, (Northeast)
"Faria Slimer Borough (X+11, Y+2) - lor2872","Faria Slimer Borough (X+11, Y+2) - lor2872",Faria Slimer Borough,city,lor2872,11,2,1,2,
"Faria Slimer Borough (X+2, Y+3) - yug1","Faria Slimer Borough (X+2, Y+3) - yug1",Faria Slimer Borough,city,yug1,2,3,1,1,
"Faria Slimer Borough (X+3, Y+3) - yug217","Faria Slimer Borough (X+3, Y+3) - yug217",Faria Slimer Borough,city,yug217,3,3,1,1,
"Faria Slimer Borough (X+4, Y+3) - yug2 (West)","Faria Slimer Borough (X+4, Y+3) - yug2",Faria Slimer Borough,city,yug2,4,3,1,1, (West)
"Faria Slimer Borough (X+4, Y+3) - yug2 (East)","Faria Slimer Borough (X+4, Y+3) - yug2",Faria Slimer Borough,city,yug2,4,3,1,1, (East)
"Faria Slimer Borough (X+5, Y+3) - yug2165","Faria Slimer Borough (X+5, Y+3) - yug2165",Faria Slimer Borough,city,yug2165,5,3,1,1,
"Faria Slimer Borough (X+6, Y+3) - yug2099 (North)","Faria Slimer Borough (X+6, Y+3) - yug2099",Faria Slimer Borough,city,yug2099,6,3,1,1, (North)
"Faria Slimer Borough (X+6, Y+3) - yug2099 (South)","Faria Slimer Borough (X+6, Y+3) - yug2099",Faria Slimer Borough,city,yug2099,6,3,1,1, (South)
"Faria Slimer Borough (X+7, Y+3) - yug9","Faria Slimer Borough (X+7, Y+3) - yug9",Faria Slimer Borough,city,yug9,7,3,3,1,
"Faria Slimer Borough (X+3, Y+4) - yug4250","Faria Slimer Borough (X+3, Y+4) - yug4250",Faria Slimer Borough,city,yug4250,3,4,1,2,
"Faria Slimer Borough (X+4, Y+4) - yug4303","Faria Slimer Borough (X+4, Y+4) - yug4303",Faria Slimer Borough,city,yug4303,4,4,1,1,
"Faria Slimer Borough (X+5, Y+4) - yug4308","Faria Slimer Borough (X+5, Y+4) - yug4308",Faria Slimer Borough,city,yug4308,5,4,1,1,
"Faria Slimer Borough (X+6, Y+4) - yug4185","Faria Slimer Borough (X+6, Y+4) - yug4185",Faria Slimer Borough,city,yug4185,6,4,1,1,
"Faria Slimer Borough (X+7, Y+4) - yug4153 (North)","Faria Slimer Borough (X+7, Y+4) - yug4153",Faria Slimer Borough,city,yug4153,7,4,1,2, (North)
"Faria Slimer Borough (X+7, Y+4) - yug4153 (South)","Faria Slimer Borough (X+7, Y+4) - yug4153",Faria Slimer Borough,city,yug4153,7,4,1,2, (South)
"Faria Slimer Borough (X+8, Y+4) - yug4144","Faria Slimer Borough (X+8, Y+4) - yug4144",Faria Slimer Borough,city,yug4144,8,4,1,2,
"Faria Slimer Borough (X+9, Y+4) - yug4136","Faria Slimer Borough (X+9, Y+4) - yug4136",Faria Slimer Borough,city,yug4136,9,4,1,1,
"Faria Slimer Borough (X+10, Y+4) - yug4122","Faria Slimer Borough (X+10, Y+4) - yug4122",Faria Slimer Borough,city,yug4122,10,4,1,1,
"Faria Slimer Borough (X+11, Y+4) - lor2884","Faria Slimer Borough (X+11, Y+4) - lor2884",Faria Slimer Borough,city,lor2884,11,4,1,1,
"Faria Slimer Borough (X+1, Y+5) - yug4288","Faria Slimer Borough (X+1, Y+5) - yug4288",Faria Slimer Borough,city,yug4288,1,5,2,1,
"Faria Slimer Borough (X+4, Y+5) - yug4222","Faria Slimer Borough (X+4, Y+5) - yug4222",Faria Slimer Borough,city,yug4222,4,5,1,1,
"Faria Slimer Borough (X+5, Y+5) - yug4236","Faria Slimer Borough (X+5, Y+5) - yug4236",Faria Slimer Borough,city,yug4236,5,5,1,1,
"Faria Slimer Borough (X+6, Y+5) - yug4194","Faria Slimer Borough (X+6, Y+5) - yug4194",Faria Slimer Borough,city,yug4194,6,5,1,1,
"Faria Slimer Borough (X+9, Y+5) - yug4113","Faria Slimer Borough (X+9, Y+5) - yug4113",Faria Slimer Borough,city,yug4113,9,5,1,1,
"Faria Slimer Borough (X+10, Y+5) - yug4798","Faria Slimer Borough (X+10, Y+5) - yug4798",Faria Slimer Borough,city,yug4798,10,5,1,1,
"Faria Slimer Borough (X+11, Y+5) - lor2866","Faria Slimer Borough (X+11, Y+5) - lor2866",Faria Slimer Borough,city,lor2866,11,5,1,1,
"Faria Slimer Borough (Interiors) (X+6, Y-6) - yug134","Faria Slimer Borough (Interiors) (X+6, Y-6) - yug134",Faria Slimer Borough (Interiors),city_interiors,yug134,6,-6,1,1,
"Faria Slimer Borough (Interiors) (X+8, Y-6) - yug426","Faria Slimer Borough (Interiors) (X+8, Y-6) - yug426",Faria Slimer Borough (Interiors),city_interiors,yug426,8,-6,1,1,
"Faria Slimer Borough (Interiors) (X+4, Y-5) - yug47","Faria Slimer Borough (Interiors) (X+4, Y-5) - yug47",Faria Slimer Borough (Interiors),city_interiors,yug47,4,-5,1,1,
"Faria Slimer Borough (Interiors) (X+3, Y-3) - yug1","Faria Slimer Borough (Interiors) (X+3, Y-3) - yug1",Faria Slimer Borough (Interiors),city_interiors,yug1,3,-3,1,1,
"Faria Slimer Borough (Interiors) (X+7, Y-3) - lor414","Faria Slimer Borough (Interiors) (X+7, Y-3) - lor414",Faria Slimer Borough (Interiors),city_interiors,lor414,7,-3,1,1,
"Faria Slimer Borough (Interiors) (X+10, Y-2) - yug59","Faria Slimer Borough (Interiors) (X+10, Y-2) - yug59",Faria Slimer Borough (Interiors),city_interiors,yug59,10,-2,1,1,
"Faria Slimer Borough (Interiors) (X+2, Y-1) - yug69","Faria Slimer Borough (Interiors) (X+2, Y-1) - yug69",Faria Slimer Borough (Interiors),city_interiors,yug69,2,-1,1,1,
"Faria Slimer Borough (Interiors) (X+5, Y+0) - lor296","Faria Slimer Borough (Interiors) (X+5, Y+0) - lor296",Faria Slimer Borough (Interiors),city_interiors,lor296,5,0,1,1,
"Faria Slimer Borough (Interiors) (X+3, Y+1) - yug119","Faria Slimer Borough (Interiors) (X+3, Y+1) - yug119",Faria Slimer Borough (Interiors),city_interiors,yug119,3,1,1,1,
"Faria Slimer Borough (Sewers) (X+3, Y-7) - ren3974","Faria Slimer Borough (Sewers) (X+3, Y-7) - ren3974",Faria Slimer Borough (Sewers),city_underground,ren3974,3,-7,1,1,
"Faria Slimer Borough (Sewers) (X+4, Y-7) - ren3993 (Main)","Faria Slimer Borough (Sewers) (X+4, Y-7) - ren3993",Faria Slimer Borough (Sewers),city_underground,ren3993,4,-7,1,1, (Main)
"Faria Slimer Borough (Sewers) (X+4, Y-7) - ren3993 (South)","Faria Slimer Borough (Sewers) (X+4, Y-7) - ren3993",Faria Slimer Borough (Sewers),city_underground,ren3993,4,-7,1,1, (South)
"Faria Slimer Borough (Sewers) (X+8, Y-7) - yug882","Faria Slimer Borough (Sewers) (X+8, Y-7) - yug882",Faria Slimer Borough (Sewers),city_underground,yug882,8,-7,1,1,
"Faria Slimer Borough (Sewers) (X+9, Y-7) - yug873","Faria Slimer Borough (Sewers) (X+9, Y-7) - yug873",Faria Slimer Borough (Sewers),city_underground,yug873,9,-7,1,1,
"Faria Slimer Borough (Sewers) (X+3, Y-6) - ren3946","Faria Slimer Borough (Sewers) (X+3, Y-6) - ren3946",Faria Slimer Borough (Sewers),city_underground,ren3946,3,-6,1,1,
"Faria Slimer Borough (Sewers) (X+4, Y-6) - ren3982 (Main)","Faria Slimer Borough (Sewers) (X+4, Y-6) - ren3982",Faria Slimer Borough (Sewers),city_underground,ren3982,4,-6,1,1, (Main)
"Faria Slimer Borough (Sewers) (X+4, Y-6) - ren3982 (North)","Faria Slimer Borough (Sewers) (X+4, Y-6) - ren3982",Faria Slimer Borough (Sewers),city_underground,ren3982,4,-6,1,1, (North)
"Faria Slimer Borough (Sewers) (X+4, Y-6) - ren3982 (South)","Faria Slimer Borough (Sewers) (X+4, Y-6) - ren3982",Faria Slimer Borough (Sewers),city_underground,ren3982,4,-6,1,1, (South)
"Faria Slimer Borough (Sewers) (X+5, Y-6) - ren4029 (Main)","Faria Slimer Borough (Sewers) (X+5, Y-6) - ren4029",Faria Slimer Borough (Sewers),city_underground,ren4029,5,-6,1,1, (Main)
"Faria Slimer Borough (Sewers) (X+5, Y-6) - ren4029 (South)","Faria Slimer Borough (Sewers) (X+5, Y-6) - ren4029",Faria Slimer Borough (Sewers),city_underground,ren4029,5,-6,1,1, (South)
"Faria Slimer Borough (Sewers) (X+7, Y-6) - yug817","Faria Slimer Borough (Sewers) (X+7, Y-6) - yug817",Faria Slimer Borough (Sewers),city_underground,yug817,7,-6,1,1,
"Faria Slimer Borough (Sewers) (X+8, Y-6) - yug912 (Main)","Faria Slimer Borough (Sewers) (X+8, Y-6) - yug912",Faria Slimer Borough (Sewers),city_underground,yug912,8,-6,1,2, (Main)
"Faria Slimer Borough (Sewers) (X+8, Y-6) - yug912 (North)","Faria Slimer Borough (Sewers) (X+8, Y-6) - yug912",Faria Slimer Borough (Sewers),city_underground,yug912,8,-6,1,2, (North)
"Faria Slimer Borough (Sewers) (X+8, Y-6) - yug912 (Northwest)","Faria Slimer Borough (Sewers) (X+8, Y-6) - yug912",Faria Slimer Borough (Sewers),city_underground,yug912,8,-6,1,2, (Northwest)
"Faria Slimer Borough (Sewers) (X+8, Y-6) - yug912 (Northeast)","Faria Slimer Borough (Sewers) (X+8, Y-6) - yug912",Faria Slimer Borough (Sewers),city_underground,yug912,8,-6,1,2, (Northeast)
"Faria Slimer Borough (Sewers) (X+9, Y-6) - yug860","Faria Slimer Borough (Sewers) (X+9, Y-6) - yug860",Faria Slimer Borough (Sewers),city_underground,yug860,9,-6,1,1,
"Faria Slimer Borough (Sewers) (X+2, Y-5) - ren3998","Faria Slimer Borough (Sewers) (X+2, Y-5) - ren3998",Faria Slimer Borough (Sewers),city_underground,ren3998,2,-5,2,1,
"Faria Slimer Borough (Sewers) (X+4, Y-5) - ren3965","Faria Slimer Borough (Sewers) (X+4, Y-5) - ren3965",Faria Slimer Borough (Sewers),city_underground,ren3965,4,-5,1,1,
"Faria Slimer Borough (Sewers) (X+7, Y-5) - yug804","Faria Slimer Borough (Sewers) (X+7, Y-5) - yug804",Faria Slimer Borough (Sewers),city_underground,yug804,7,-5,1,1,
"Faria Slimer Borough (Sewers) (X+9, Y-5) - yug838 (West)","Faria Slimer Borough (Sewers) (X+9, Y-5) - yug838",Faria Slimer Borough (Sewers),city_underground,yug838,9,-5,1,1, (West)
"Faria Slimer Borough (Sewers) (X+9, Y-5) - yug838 (East)","Faria Slimer Borough (Sewers) (X+9, Y-5) - yug838",Faria Slimer Borough (Sewers),city_underground,yug838,9,-5,1,1, (East)
"Faria Slimer Borough (Sewers) (X+8, Y-4) - yug829","Faria Slimer Borough (Sewers) (X+8, Y-4) - yug829",Faria Slimer Borough (Sewers),city_underground,yug829,8,-4,1,1,
"Faria Slimer Borough (Sewers) (X+9, Y-4) - yug848","Faria Slimer Borough (Sewers) (X+9, Y-4) - yug848",Faria Slimer Borough (Sewers),city_underground,yug848,9,-4,1,1,
"Faria Slimer Borough (Sewers) (X+5, Y-2) - lor177","Faria Slimer Borough (Sewers) (X+5, Y-2) - lor177",Faria Slimer Borough (Sewers),city_underground,lor177,5,-2,1,1,
"Faria Slimer Borough (Sewers) (X+6, Y-2) - yug13","Faria Slimer Borough (Sewers) (X+6, Y-2) - yug13",Faria Slimer Borough (Sewers),city_underground,yug13,6,-2,1,1,
"Faria Slimer Borough (Sewers) (X+2, Y-1) - ren1477","Faria Slimer Borough (Sewers) (X+2, Y-1) - ren1477",Faria Slimer Borough (Sewers),city_underground,ren1477,2,-1,1,1,
"Faria Slimer Borough (Sewers) (X+5, Y-1) - lor176","Faria Slimer Borough (Sewers) (X+5, Y-1) - lor176",Faria Slimer Borough (Sewers),city_underground,lor176,5,-1,1,1,
"Faria Slimer Borough (Sewers) (X+6, Y-1) - yug31","Faria Slimer Borough (Sewers) (X+6, Y-1) - yug31",Faria Slimer Borough (Sewers),city_underground,yug31,6,-1,1,1,
"Faria Slimer Borough (Sewers) (X+7, Y-1) - lor194","Faria Slimer Borough (Sewers) (X+7, Y-1) - lor194",Faria Slimer Borough (Sewers),city_underground,lor194,7,-1,1,1,
"Faria Slimer Borough (Sewers) (X+8, Y-1) - yug23","Faria Slimer Borough (Sewers) (X+8, Y-1) - yug23",Faria Slimer Borough (Sewers),city_underground,yug23,8,-1,1,1,
"Faria Slimer Borough (Sewers) (X+2, Y+0) - ren1453","Faria Slimer Borough (Sewers) (X+2, Y+0) - ren1453",Faria Slimer Borough (Sewers),city_underground,ren1453,2,0,1,1,
"Faria Slimer Borough (Sewers) (X+5, Y+0) - lor175","Faria Slimer Borough (Sewers) (X+5, Y+0) - lor175",Faria Slimer Borough (Sewers),city_underground,lor175,5,0,1,1,
"Faria Slimer Borough (Sewers) (X+6, Y+0) - yug26 (Main)","Faria Slimer Borough (Sewers) (X+6, Y+0) - yug26",Faria Slimer Borough (Sewers),city_underground,yug26,6,0,1,1, (Main)
"Faria Slimer Borough (Sewers) (X+6, Y+0) - yug26 (North)","Faria Slimer Borough (Sewers) (X+6, Y+0) - yug26",Faria Slimer Borough (Sewers),city_underground,yug26,6,0,1,1, (North)
"Faria Slimer Borough (Sewers) (X+6, Y+0) - yug26 (South)","Faria Slimer Borough (Sewers) (X+6, Y+0) - yug26",Faria Slimer Borough (Sewers),city_underground,yug26,6,0,1,1, (South)
"Faria Slimer Borough (Sewers) (X+6, Y+0) - yug26 (East)","Faria Slimer Borough (Sewers) (X+6, Y+0) - yug26",Faria Slimer Borough (Sewers),city_underground,yug26,6,0,1,1, (East)
"Faria Slimer Borough (Sewers) (X+7, Y+0) - yug39","Faria Slimer Borough (Sewers) (X+7, Y+0) - yug39",Faria Slimer Borough (Sewers),city_underground,yug39,7,0,1,1,
"Faria Slimer Borough (Sewers) (X+8, Y+0) - yug20","Faria Slimer Borough (Sewers) (X+8, Y+0) - yug20",Faria Slimer Borough (Sewers),city_underground,yug20,8,0,1,1,
"Faria Slimer Borough (Sewers) (X+9, Y+0) - yug1330","Faria Slimer Borough (Sewers) (X+9, Y+0) - yug1330",Faria Slimer Borough (Sewers),city_underground,yug1330,9,0,1,2,
"Faria Slimer Borough (Sewers) (X+10, Y+0) - yug1803","Faria Slimer Borough (Sewers) (X+10, Y+0) - yug1803",Faria Slimer Borough (Sewers),city_underground,yug1803,10,0,1,2,
"Faria Slimer Borough (Sewers) (X+5, Y+1) - yug4","Faria Slimer Borough (Sewers) (X+5, Y+1) - yug4",Faria Slimer Borough (Sewers),city_underground,yug4,5,1,1,1,
