Room Label 1,Exit,Room Label 2,↔️,Rules,Edit,Idx1,Idx2,✅,Rule 1,Rule 2,Rule 3,Rule 4,Rule 5,Rule 6,Rule 7,"Badges (SS[+], Moon, Turret, Wing)",Offstring Throw,Walk-the-Dog,Wall-Dash,UFO Throw,Wall Ride,"Moves (Sleeper+AtW/Parry, Coin-Flip, Coin-Flip+Prodigy, Cat's Cradle)",Other,Notes
"Fadalins Neighborhood (Sewers) (X+4, Y-10) - ren1648",down,"Fadalins Neighborhood (Sewers) (X+4, Y-9) - ren1653",,,,185,186,FALSE,,,,,,,,,,,,,,,,
"Fadalins Neighborhood (Sewers) (X+4, Y-9) - ren1653",left,"Fadalins Neighborhood (Sewers) (X+3, Y-10) - ren1769",,,,186,184,FALSE,,,,,,,,,,,,,,,,
"Fadalins Neighborhood (Sewers) (X+4, Y-9) - ren1653",up,"Fadalins Neighborhood (Sewers) (X+4, Y-10) - ren1648",,,,186,185,FALSE,,,,,,,,,,,,,,,,
"Fadalins Neighborhood (Sewers) (X+4, Y-8) - yug2167",manhole (up),"Fadalins Neighborhood (X+3, Y-8) - ren4861",,,,187,159,FALSE,,,,,,,,,,,,,,,,
"Fadalins Neighborhood (Sewers) (X+4, Y-8) - yug2167",right,"Fadalins Neighborhood (Sewers) (X+5, Y-8) - yug2151",,,,187,188,FALSE,,,,,,,,,,,,,,,,
"Fadalins Neighborhood (Sewers) (X+5, Y-8) - yug2151",left,"Fadalins Neighborhood (Sewers) (X+4, Y-8) - yug2167",,,,188,187,FALSE,,,,,,,,,,,,,,,,
"Fadolio Eternatum Museum (X+1, Y-4) - yug2",left,"Fadolio Eternatum Museum (X-1, Y-3) - yug43",,,,189,190,FALSE,,,,,,,,,,,,,,,,
"Fadolio Eternatum Museum (X-1, Y-3) - yug43",warp (down),"Fadalins Neighborhood (X+4, Y-15) - ren4894",,,,190,144,FALSE,,,,,,,,,,,,,,,,
"Fadolio Eternatum Museum (X-1, Y-3) - yug43",right,"Fadolio Eternatum Museum (X+1, Y-4) - yug2",,,,190,189,FALSE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+9, Y-7) - yug3435",manhole (down),"Faria Slimer Borough (Sewers) (X+9, Y-7) - yug873",TRUE,FALSE,8/4/2026 16:38:25,191,290,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+1, Y-6) - lor1097",up,"Fadalins Neighborhood (X+1, Y-8) - lor1096",FALSE,TRUE,,192,158,FALSE,,,,,,,,FALSE,FALSE,TRUE,FALSE,Skipping Stone+,TRUE,FALSE,FALSE,
"Faria Slimer Borough (X+1, Y-6) - lor1097",right,"Faria Slimer Borough (X+3, Y-6) - yug1263",FALSE,FALSE,8/4/2026 17:19:00,192,193,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+1, Y-6) - lor1097",left,"South Plaza (X-1, Y-6) - ren355 (East)",FALSE,TRUE,9/4/2026 3:06:21,192,945,TRUE,dog,"ride, hook","ride, dash",,,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Rule is to safe platform
"Faria Slimer Borough (X+3, Y-6) - yug1263",manhole (down),"Faria Slimer Borough (Sewers) (X+3, Y-6) - ren3946",TRUE,FALSE,8/2/2026 21:06:44,193,291,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y-6) - yug173",right,"Faria Slimer Borough (X+7, Y-6) - yug171 (Main)",TRUE,FALSE,8/3/2026 15:17:37,194,195,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y-6) - yug173",down,"Faria Slimer Borough (X+4, Y-5) - yug208 (North)",TRUE,FALSE,8/3/2026 15:17:41,194,200,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y-6) - yug173",down,"Faria Slimer Borough (X+6, Y-5) - yug23",FALSE,FALSE,8/4/2026 21:36:25,194,203,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+7, Y-6) - yug171 (Main)",right,"Faria Slimer Borough (X+7, Y-6) - yug171 (East)",FALSE,TRUE,8/5/2026 19:45:27,195,196,TRUE,flip+,"dash, Bomb 1","ufo, Bomb 1","ride, Bomb 1",,,,FALSE,FALSE,FALSE,Bomb 1,Bomb 1,Bomb 1,Coin-Flip + Prodigy,FALSE,Possible without abilities w/ taxi phones and either north region reached
"Faria Slimer Borough (X+7, Y-6) - yug171 (Main)",down,"Faria Slimer Borough (X+7, Y-5) - yug3458",TRUE,FALSE,8/4/2026 14:00:30,195,204,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+7, Y-6) - yug171 (East)",left,"Faria Slimer Borough (X+7, Y-6) - yug171 (Main)",FALSE,FALSE,8/3/2026 16:10:56,196,195,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+7, Y-6) - yug171 (East)",warp (up),"Faria Slimer Borough (Interiors) (X+6, Y-6) - yug134",TRUE,FALSE,8/3/2026 16:23:58,196,277,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+8, Y-6) - yug3298",warp (up),"Faria Slimer Borough (Interiors) (X+8, Y-6) - yug426",TRUE,FALSE,8/4/2026 14:14:54,197,278,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+9, Y-6) - yug3411",up,"Faria Slimer Borough (X+9, Y-7) - yug3435",TRUE,FALSE,8/4/2026 16:38:52,198,191,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+3, Y-5) - yug20",up,"Faria Slimer Borough (X+3, Y-6) - yug1263",TRUE,FALSE,8/2/2026 21:03:32,199,193,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+3, Y-5) - yug20",down,"Faria Slimer Borough (X+3, Y-4) - yug19",FALSE,FALSE,8/16/2026 12:42:56,199,210,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y-5) - yug208 (North)",down,"Faria Slimer Borough (X+4, Y-5) - yug208 (South)",FALSE,TRUE,8/2/2026 22:10:39,200,201,TRUE,Lever 4,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lever 4,
"Faria Slimer Borough (X+4, Y-5) - yug208 (North)",warp (up),"Faria Slimer Borough (Interiors) (X+4, Y-5) - yug47",TRUE,FALSE,8/2/2026 22:08:52,200,279,TRUE,,,,,,,,,,,,,,,,Use debris from room above to hold down button
"Faria Slimer Borough (X+4, Y-5) - yug208 (South)",left,"Faria Slimer Borough (X+3, Y-4) - yug19",FALSE,FALSE,8/16/2026 12:46:09,201,210,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+5, Y-5) - yug183",down,"Faria Slimer Borough (X+5, Y-4) - yug190",FALSE,FALSE,8/3/2026 15:41:23,202,211,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+6, Y-5) - yug23",left,"Faria Slimer Borough (X+5, Y-5) - yug183",FALSE,TRUE,8/3/2026 15:30:22,203,202,TRUE,Key 1,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Key 1,
"Faria Slimer Borough (X+6, Y-5) - yug23",down,"Faria Slimer Borough (X+6, Y-4) - yug187",FALSE,FALSE,8/3/2026 15:26:18,203,212,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+7, Y-5) - yug3458",right,"Faria Slimer Borough (X+8, Y-5) - yug3276",TRUE,FALSE,8/4/2026 14:00:13,204,205,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+7, Y-5) - yug3458",down,"Faria Slimer Borough (X+7, Y-4) - yug202 (Main)",TRUE,FALSE,8/4/2026 14:00:12,204,213,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+7, Y-5) - yug3458",down,"Faria Slimer Borough (X+7, Y-4) - yug202 (West Alcove)",FALSE,FALSE,8/4/2026 14:00:13,204,214,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+8, Y-5) - yug3276",up,"Faria Slimer Borough (X+8, Y-6) - yug3298",TRUE,FALSE,8/4/2026 14:13:16,205,197,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+8, Y-5) - yug3276",right,"Faria Slimer Borough (X+9, Y-5) - yug3320 (Main)",TRUE,FALSE,8/4/2026 14:14:26,205,206,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+8, Y-5) - yug3276",manhole (down),"Faria Slimer Borough (Sewers) (X+8, Y-6) - yug912 (Main)",TRUE,FALSE,8/4/2026 14:13:16,205,298,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+9, Y-5) - yug3320 (Main)",up,"Faria Slimer Borough (X+9, Y-6) - yug3411",TRUE,FALSE,8/4/2026 16:33:09,206,198,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+9, Y-5) - yug3320 (South Alcove)",down,"Faria Slimer Borough (X+9, Y-4) - yug3345",FALSE,FALSE,8/5/2026 20:01:10,207,216,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+2, Y-4) - lor1128 (West)",right,"Faria Slimer Borough (X+2, Y-4) - lor1128 (East)",TRUE,TRUE,8/4/2026 17:12:03,208,209,TRUE,ufo,ride,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
"Faria Slimer Borough (X+2, Y-4) - lor1128 (East)",up,"Faria Slimer Borough (X+1, Y-6) - lor1097",TRUE,FALSE,8/4/2026 17:14:46,209,192,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+2, Y-4) - lor1128 (East)",down,"Faria Slimer Borough (X+2, Y-3) - lor1129",TRUE,FALSE,,209,217,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+3, Y-4) - yug19",up,"Faria Slimer Borough (X+3, Y-5) - yug20",FALSE,TRUE,8/16/2026 12:43:35,210,199,TRUE,Combat 1,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 1,
"Faria Slimer Borough (X+3, Y-4) - yug19",right,"Faria Slimer Borough (X+4, Y-5) - yug208 (South)",FALSE,TRUE,8/16/2026 12:45:34,210,201,TRUE,Combat 1,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 1,
"Faria Slimer Borough (X+3, Y-4) - yug19",down,"Faria Slimer Borough (X+3, Y-3) - yug71",FALSE,TRUE,8/16/2026 12:43:38,210,218,TRUE,Combat 1,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 1,
"Faria Slimer Borough (X+5, Y-4) - yug190",up,"Faria Slimer Borough (X+5, Y-5) - yug183",FALSE,TRUE,8/3/2026 15:41:14,211,202,TRUE,Combat 2,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 2,
"Faria Slimer Borough (X+5, Y-4) - yug190",down,"Faria Slimer Borough (X+4, Y-3) - yug2741 (North)",FALSE,TRUE,8/3/2026 15:52:48,211,220,TRUE,Combat 2,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 2,
"Faria Slimer Borough (X+7, Y-4) - yug202 (Main)",right,"Faria Slimer Borough (X+8, Y-4) - yug169",FALSE,TRUE,8/4/2026 14:10:21,213,215,TRUE,dash,ufo,ride,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
"Faria Slimer Borough (X+7, Y-4) - yug202 (Main)",down,"Faria Slimer Borough (X+4, Y-3) - yug2741 (Main)",FALSE,FALSE,8/4/2026 14:09:50,213,219,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+8, Y-4) - yug169",down,"Faria Slimer Borough (X+8, Y-3) - yug108 (Northwest)",FALSE,TRUE,8/4/2026 17:49:37,215,223,TRUE,Combat 4,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 4,
"Faria Slimer Borough (X+9, Y-4) - yug3345",up,"Faria Slimer Borough (X+9, Y-5) - yug3320 (Main)",FALSE,FALSE,8/4/2026 16:52:16,216,206,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+2, Y-3) - lor1129",warp (up),"Canceled Subway Station (X-1, Y-2) - ren899",TRUE,FALSE,8/5/2026 20:00:47,217,22,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+3, Y-3) - yug71",up,"Faria Slimer Borough (X+3, Y-4) - yug19",FALSE,FALSE,8/16/2026 12:44:26,218,210,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+3, Y-3) - yug71",warp (up),"Faria Slimer Borough (Interiors) (X+3, Y-3) - yug1",TRUE,FALSE,8/2/2026 20:44:54,218,280,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y-3) - yug2741 (Main)",up,"Faria Slimer Borough (X+4, Y-5) - yug208 (South)",TRUE,FALSE,7/28/2026 14:50:06,219,201,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y-3) - yug2741 (Main)",up,"Faria Slimer Borough (X+7, Y-4) - yug202 (Main)",FALSE,TRUE,8/16/2026 13:21:05,219,213,TRUE,ss,dog,dash,ufo,ride,hard,,Skipping Stone,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Hard Difficulty,"Hard diff possible with manhole or debris from (X+3, Y-4)"
"Faria Slimer Borough (X+4, Y-3) - yug2741 (Main)",down,"Faria Slimer Borough (X+4, Y+0) - yug27 (North Alcove)",FALSE,TRUE,8/2/2026 19:05:55,219,240,TRUE,dash,ufo,ride,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
"Faria Slimer Borough (X+4, Y-3) - yug2741 (Main)",warp (up),"Faria Slimer Borough (Interiors) (X+7, Y-3) - lor414",TRUE,FALSE,7/28/2026 14:50:51,219,281,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y-3) - yug2741 (Main)",manhole (down),"Faria Slimer Borough (Sewers) (X+6, Y-2) - yug13",TRUE,FALSE,7/28/2026 14:58:41,219,311,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y-3) - yug2741 (Main)",manhole (down),"Faria Slimer Borough (Sewers) (X+7, Y-1) - lor194",TRUE,FALSE,7/28/2026 14:58:42,219,315,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y-3) - yug2741 (North)",up,"Faria Slimer Borough (X+5, Y-4) - yug190",FALSE,FALSE,8/3/2026 15:43:11,220,211,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y-3) - yug2741 (North)",down,"Faria Slimer Borough (X+4, Y-3) - yug2741 (Main)",FALSE,FALSE,7/28/2026 14:59:21,220,219,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y-3) - yug2741 (North)",warp (up),"SlimeCorp Skyscraper (X+0, Y-2) - lor2 (West)",TRUE,FALSE,8/19/2026 18:19:16,220,932,TRUE,none,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+8, Y-3) - yug108 (Main)",up,"Faria Slimer Borough (X+8, Y-3) - yug108 (Dungeon Entrance)",FALSE,TRUE,8/27/2026 17:20:51,222,227,TRUE,Staff ID,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Staff ID,
"Faria Slimer Borough (X+8, Y-3) - yug108 (Main)",left,"Faria Slimer Borough (X+4, Y-3) - yug2741 (East Alcove)",FALSE,FALSE,8/4/2026 17:58:52,222,221,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+8, Y-3) - yug108 (Main)",right,"Faria Slimer Borough (X+10, Y-1) - yug61 (West Alcove)",FALSE,FALSE,8/5/2026 18:50:39,222,236,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+8, Y-3) - yug108 (Northwest)",right,"Faria Slimer Borough (X+8, Y-3) - yug108 (Northeast)",TRUE,TRUE,9/4/2026 3:00:22,223,224,TRUE,dash,ufo,ride,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
"Faria Slimer Borough (X+8, Y-3) - yug108 (Northeast)",down,"Faria Slimer Borough (X+8, Y-3) - yug108 (Main)",TRUE,FALSE,9/4/2026 3:00:46,224,222,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+8, Y-3) - yug108 (Dungeon Entrance)",down,"Faria Slimer Borough (X+8, Y-3) - yug108 (Main)",FALSE,FALSE,8/27/2026 17:20:24,227,222,TRUE,,,,,,,,,,,,,,,,Return to safe house to get unstuck
"Faria Slimer Borough (X+8, Y-3) - yug108 (Dungeon Entrance)",warp (up),"SlimeCorp Excavation Site (X+0, Y+0) - lor149 (Main)",TRUE,FALSE,8/27/2026 17:19:49,227,830,TRUE,none,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+8, Y-3) - yug108 (Southwest)",right,"Faria Slimer Borough (X+8, Y-3) - yug108 (Main)",TRUE,TRUE,8/4/2026 17:57:24,225,222,TRUE,dash,ufo,ride,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
"Faria Slimer Borough (X+8, Y-3) - yug108 (Southwest)",manhole (down),"Faria Slimer Borough (Sewers) (X+8, Y+0) - yug20",TRUE,FALSE,8/2/2026 19:58:04,225,324,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+8, Y-3) - yug108 (Southeast)",left,"Faria Slimer Borough (X+8, Y-3) - yug108 (Main)",FALSE,FALSE,8/5/2026 18:52:41,226,222,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+8, Y-3) - yug108 (Southeast)",right,"Faria Slimer Borough (X+10, Y+0) - yug55",TRUE,TRUE,8/5/2026 18:53:31,226,241,TRUE,dash,ufo,ride,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
"Faria Slimer Borough (X+10, Y-3) - yug60",left,"Faria Slimer Borough (X+8, Y-3) - yug108 (Northeast)",FALSE,TRUE,8/5/2026 20:00:33,228,224,TRUE,dash,ufo,ride,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
"Faria Slimer Borough (X+2, Y-2) - yug2715",down,"Faria Slimer Borough (X+2, Y-1) - yug2440",FALSE,TRUE,8/2/2026 19:19:06,229,233,TRUE,"dash, Lever 1, Lever 3","ride, Lever 1, Lever 2","ride, Lever 1, Lever 3","midair ufo, Lever 1, Lever 3",,,,FALSE,FALSE,FALSE,Lever 1+3,FALSE,(Lever 1+2) OR (Lever 1+3),FALSE,FALSE,(Lever 1+3 AND midair UFO) possible if WtD not unlocked
"Faria Slimer Borough (X+3, Y-2) - yug259",left,"Faria Slimer Borough (X+2, Y-2) - yug2715",FALSE,FALSE,7/27/2026 18:12:24,230,229,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+10, Y-2) - yug56 (Main)",up,"Faria Slimer Borough (X+10, Y-3) - yug60",TRUE,FALSE,8/5/2026 19:41:03,231,228,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+10, Y-2) - yug56 (Main)",right,"Faria Slimer Borough (X+10, Y-2) - yug56 (East)",TRUE,TRUE,8/5/2026 19:42:40,231,232,TRUE,dash,ufo,ride,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
"Faria Slimer Borough (X+10, Y-2) - yug56 (East)",warp (up),"Faria Slimer Borough (Interiors) (X+10, Y-2) - yug59",TRUE,FALSE,8/5/2026 19:41:20,232,282,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+2, Y-1) - yug2440",warp (up),"Faria Slimer Borough (Interiors) (X+2, Y-1) - yug69",TRUE,FALSE,7/27/2026 19:04:52,233,283,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+3, Y-1) - yug96",up,"Faria Slimer Borough (X+3, Y-2) - yug259",FALSE,TRUE,8/2/2026 19:07:55,234,230,TRUE,dash,ufo,ride,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
"Faria Slimer Borough (X+3, Y-1) - yug96",right,"Faria Slimer Borough (X+4, Y+0) - yug27 (Main)",TRUE,FALSE,8/3/2026 16:35:47,234,239,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+10, Y-1) - yug61 (Main)",up,"Faria Slimer Borough (X+10, Y-2) - yug56 (Main)",TRUE,FALSE,8/5/2026 19:39:13,235,231,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+2, Y+0) - yug220 (West)",manhole (down),"Faria Slimer Borough (Sewers) (X+2, Y+0) - ren1453",TRUE,FALSE,7/27/2026 16:43:56,237,317,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+2, Y+0) - yug220 (East)",right,"Faria Slimer Borough (X+3, Y-1) - yug96",TRUE,FALSE,7/27/2026 16:44:01,238,234,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+2, Y+0) - yug220 (East)",left,"Faria Slimer Borough (X+2, Y+0) - yug220 (West)",FALSE,FALSE,7/27/2026 16:44:23,238,237,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+2, Y+0) - yug220 (East)",manhole (down),"Faria Slimer Borough (Sewers) (X+2, Y+0) - ren1453",TRUE,FALSE,7/27/2026 16:44:27,238,317,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y+0) - yug27 (Main)",up,"Faria Slimer Borough (X+4, Y-3) - yug2741 (Main)",TRUE,FALSE,8/3/2026 16:33:41,239,219,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y+0) - yug27 (Main)",right,"Faria Slimer Borough (X+8, Y-3) - yug108 (Southwest)",TRUE,FALSE,8/3/2026 16:33:42,239,225,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y+0) - yug27 (Main)",down,"Faria Slimer Borough (X+4, Y+3) - yug2 (East)",TRUE,FALSE,8/3/2026 16:33:45,239,255,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y+0) - yug27 (Main)",warp (up),"Faria Slimer Borough (Interiors) (X+5, Y+0) - lor296",TRUE,FALSE,8/3/2026 16:33:45,239,284,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+4, Y+0) - yug27 (Main)",manhole (down),"Faria Slimer Borough (Sewers) (X+5, Y+1) - yug4",TRUE,FALSE,8/3/2026 16:33:45,239,327,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+10, Y+0) - yug55",up,"Faria Slimer Borough (X+10, Y-1) - yug61 (Main)",TRUE,FALSE,8/5/2026 18:54:32,241,235,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+10, Y+0) - yug55",down,"Faria Slimer Borough (X+10, Y+1) - lor2298",FALSE,FALSE,8/5/2026 18:54:41,241,246,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+10, Y+0) - yug55",manhole (down),"Faria Slimer Borough (Sewers) (X+10, Y+0) - yug1803",TRUE,FALSE,8/5/2026 18:54:59,241,326,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+2, Y+1) - yug219 (Main)",up,"Faria Slimer Borough (X+2, Y+1) - yug219 (House Entrance)",FALSE,TRUE,8/8/2026 16:49:11,242,243,TRUE,"Apple 1, Apple 2, Apple 3",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Apple 1+2+3,
"Faria Slimer Borough (X+2, Y+1) - yug219 (House Entrance)",down,"Faria Slimer Borough (X+2, Y+1) - yug219 (Main)",FALSE,FALSE,8/8/2026 16:49:15,243,242,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+2, Y+1) - yug219 (House Entrance)",warp (up),"Faria Slimer Borough (Interiors) (X+3, Y+1) - yug119",TRUE,FALSE,8/8/2026 16:49:20,243,285,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+8, Y+1) - yug17",down,"Faria Slimer Borough (X+8, Y+2) - yug15",FALSE,FALSE,8/8/2026 19:23:50,244,247,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+8, Y+1) - yug17",manhole (down),"Faria Slimer Borough (Sewers) (X+8, Y+1) - yug619",TRUE,FALSE,8/8/2026 19:25:21,244,329,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+9, Y+1) - yug18",up,"Faria Slimer Borough (X+8, Y-3) - yug108 (Southeast)",TRUE,FALSE,8/8/2026 19:37:51,245,226,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+10, Y+1) - lor2298",down,"Faria Slimer Borough (X+10, Y+2) - lor2334 (Main)",FALSE,FALSE,8/5/2026 20:05:48,246,249,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+8, Y+2) - yug15",up,"Faria Slimer Borough (X+8, Y+1) - yug17",FALSE,TRUE,8/8/2026 19:23:44,247,244,TRUE,"[SP] Mole Brother 1, Mole Brother 2",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mole Brother 1+2,
"Faria Slimer Borough (X+9, Y+2) - yug22",up,"Faria Slimer Borough (X+9, Y+1) - yug18",TRUE,FALSE,8/8/2026 19:21:58,248,245,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+9, Y+2) - yug22",left,"Faria Slimer Borough (X+8, Y+2) - yug15",TRUE,FALSE,8/8/2026 19:21:41,248,247,TRUE,,,,,,,,,,,,,,,,
"Faria Slimer Borough (X+10, Y+2) - lor2334 (Main)",up,"Faria Slimer Borough (X+10, Y+2) - lor2334 (Northeast)",FALSE,TRUE,8/6/2026 21:34:02,249,250,TRUE,"dog, ss",dash,"ufo, ss+","ride, ss+",,,,FALSE,FALSE,Skipping Stone,TRUE,Skipping Stone+,Skipping Stone+,FALSE,FALSE,
"Faria Slimer Borough (X+10, Y+2) - lor2334 (Main)",right,"Faria Slimer Borough (X+11, Y+2) - lor2872",FALSE,TRUE,8/6/2026 21:37:14,249,251,TRUE,dog,dash,midair ufo,"ufo, ss","ride, ss",,,FALSE,FALSE,TRUE,TRUE,Midair OR Skipping Stone,Skipping Stone,FALSE,FALSE,
"Faria Slimer Borough (X+10, Y+2) - lor2334 (Main)",down,"Faria Slimer Borough (X+10, Y+4) - yug4122",FALSE,TRUE,8/30/2026 0:43:56,249,268,TRUE,dog,"dash, ss+, ride","midair ufo, ss+","dash-midair-ufo, ss+","ufo, dash, ss+","ufo, dash, ride, ss",,FALSE,FALSE,TRUE,Skipping Stone+ AND Wall-Ride,Midair UFO AND Skipping Stone+,FALSE,FALSE,FALSE,"- SS -> dash off right buoy -> wall-ride + SS
- SS -> midair ufo off bottom-right corner
- UFO -> dash off right buoy -> SS+
- UFO -> dash off right buoy -> wall-ride + SS"
"Faria Slimer Borough (X+2, Y+3) - yug1",left,"South Plaza (X-2, Y-3) - ren223 (Southeast)",FALSE,TRUE,8/7/2026 11:07:27,252,951,TRUE,[FSB] Combat 7,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 7,
"Faria Slimer Borough (X+2, Y+3) - yug1",right,"Faria Slimer Borough (X+3, Y+3) - yug217",FALSE,TRUE,8/7/2026 1:58:41,252,253,TRUE,Combat 7,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 7,
